team_name
Air Force
Akron
Alabama
Appalachian State
Arizona
Arizona State
Arkansas
Arkansas State
Army
Auburn
Ball State
Baylor
Boise State
Boston College
Bowling Green
Buffalo
BYU
California
Central Michigan
Charlotte
Cincinnati
Clemson
Colorado
Colorado State
Coastal Carolina
Duke
East Carolina
Eastern Michigan
FAU
FIU
Florida
Florida State
Fresno State
Georgia
Georgia Southern
Georgia State
Georgia Tech
Hawaii
Houston
Illinois
Indiana
Iowa
Iowa State
James Madison
Kansas
Kansas State
Kent State
Kentucky
Liberty
Louisiana
Louisiana Tech
Louisville
LSU
Marshall
Maryland
Memphis
Miami
Miami (Ohio)
Michigan
Michigan State
Minnesota
Mississippi State
Missouri
MTSU
Navy
NC State
Nebraska
Nevada
New Mexico
New Mexico State
Notre Dame
North Carolina
North Texas
Northern Illinois
Northwestern
Ohio
Ohio State
Oklahoma
Oklahoma State
Old Dominion
Ole Miss
Oregon
Oregon State
Penn State
Pittsburgh
Purdue
Rice
Rutgers
Sam Houston
San Diego State
San Jose State
SMU
South Alabama
South Carolina
South Florida
Southern Miss
Stanford
Syracuse
TCU
Temple
Tennessee
Texas
Texas A&M
Texas State
Texas Tech
Toledo
Troy
Tulane
Tulsa
UAB
UCF
UCLA
UConn
ULM
UMass
UNLV
USC
Utah
Utah State
UTEP
UTSA
Vanderbilt
Virginia
Virginia Tech
Wake Forest
Washington
Washington State
West Virginia
Western Kentucky
Western Michigan
Wisconsin
Wyoming
